date,startup,vertical,subvertical,city,investors,round,amount,year,month
2016-02-02,SoundSurround,Technology,Audio Technology Solutions,Mumbai,Multiple investors through Ten Minute Million competition,Seed Funding,22500,2016,2
2016-02-03,Mazkara,Consumer Internet,Beauty & Wellness Platform,Pune / Dubai,Dunamis Ventures Pte Ltd.,Seed Funding,1000000,2016,2
2016-02-03,RoadGods,ECommerce,Auto Spare Parts eTailer,New Delhi,Green House Ventures (GHV),Seed Funding,100000,2016,2
2016-02-03,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),Seed Funding,100000,2016,2
2016-02-03,Woodpie,Consumer Internet,Book Recommendation Service,Bangalore,Ingram Content Group,Seed Funding,30000,2016,2
2016-02-04,Perfumery,ECommerce,Fragrances & Perfume eTailer,New Delhi,Oranda Global & Others,Seed Funding,30000,2016,2
2016-02-05,Magic Crate,Education,Children Education Platform,Bangalore,"TV Mohandas Pai, Aarin Capital",Seed Funding,0,2016,2
2016-02-05,ZenDrive,Technology,Safe Driving Data & Analytics platform,Bangalore / SFO,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,13500000,2016,2
2016-02-05,Smartcooky,ECommerce,Marketplace for Health Foods,New Delhi,"Vandana Luthra,",Private Equity,0,2016,2
2016-02-05,Turtlemint,Consumer Internet,online personalized insurance platform,Mumbai,Nexus Venture Partners,Private Equity,0,2016,2
2016-02-05,BHIVE,Real Estate,Workspace Rentals,Bangalore,"Raghunandan G, Venturesity, Arihant Patni",Seed Funding,0,2016,2
2016-02-05,Gingercrush,Ecommerce,Personalized Products & Merchandize eTailer,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,1000000,2016,2
2016-02-05,American Vision,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,Seed Funding,81000,2016,2
2016-02-05,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,Seed Funding,52000,2016,2
2016-02-06,Heads Up For Tails,Ecommerce,Pet Products eTailer,New Delhi,Undisclosed investors,Seed Funding,1000000,2016,2
2016-02-06,LiveNutriFit,Healthcare,Weight loss & Healthcare Info portal,New Delhi,"Mohit Goel, Vinod Jain & Others",Seed Funding,0,2016,2
2016-02-08,Moglix,Ecommerce,Industrial & Home Products Marketplace,New Delhi,Ratan Tata,Private Equity,0,2016,2
2016-02-08,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurgaon,Green House Ventures (GHV),Seed Funding,100000,2016,2
2016-02-08,AdUrCup,Consumer Internet,Ad Network,New Delhi,Green House Ventures (GHV),Seed Funding,100000,2016,2
2016-02-08,Weddingz,Consumer Internet,online marketplace for wedding venues and vendors,Mumbai,Sixth Sense Ventures,Private Equity,0,2016,2
2016-02-08,Urban Dhobi,Consumer Internet,On Demand Laundry Services,Jaipur,"Vinod Bansal, Sanjeev Singhal",Seed Funding,0,2016,2
2016-02-08,Gray Routes,Consumer Internet,Last mile logistics solutions,Mumbai,"Mahesh Parasuraman, Rahul Gautam & Others",Seed Funding,0,2016,2
2016-02-08,Xpressbees,ECommerce,ECommerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,12500000,2016,2
2016-02-08,Invictus Oncology,Healthcare,Cancer therapeutic Info & Solutions,New Delhi,Ratan Tata,Private Equity,0,2016,2
2016-02-08,Hansel.io,Technology,Mobile App Tech Solutions,Bangalore,"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney",Seed Funding,0,2016,2
2016-02-09,Inc42,Consumer Internet,Startup Focused Media News Portal,New Delhi,"India Ventures, Aarin Capital & Others",Seed Funding,0,2016,2
2016-02-09,GOQii,Technology,Personalized fitness coaching & Fitness band,Mumbai,Edelweiss Financial Services,Private Equity,0,2016,2
2016-02-10,Capzest,Consumer Internet,Digital Lending Platform,Mumbai,Lion Ventures,Seed Funding,200000,2016,2
2016-02-10,GlamStudios,Consumer Internet,Online Salon Aggregator,Noida,Aqeel Ahmed,Seed Funding,0,2016,2
2016-02-10,Affimity,Consumer Internet,Social Networking platform,Bangalore,undisclosed investors,Seed Funding,1200000,2016,2
2016-02-10,Anandakanda,Technology,Medicine Intake Reminder System,Pune,undisclosed investors,Seed Funding,150000,2016,2
2016-02-10,JoulestoWatts,Technology,IT services & Talent collaboration services startup,Bangalore,Manipal Global Education Services,Seed Funding,0,2016,2
2016-02-10,Shopkirana,Consumer Internet,Retailer Supply Chain platform,Indore,"Atul Jain, Anil Gelra, Jaikumar Nair",Seed Funding,0,2016,2
2016-02-10,Stylofie,Consumer Internet,Online Beauty Parlour search & discovery Platform,Gurgaon,Jaideep Mehta,Seed Funding,0,2016,2
2016-02-10,OyBob,eCommerce,Hyperlocal Products & Services marketplace,Gurgaon,Sachin Dalal,Seed Funding,0,2016,2
2016-02-12,ActOnMagic,Technology,Cloud Analytics and Management Products,Bangalore,Jayabalan Subramanian,Seed Funding,125000,2016,2
2016-02-12,Bonhomia,Food & Beverage,premium Tea and Coffee,New Delhi,"Alok Rawat, Grey Orange Robotics",Seed Funding,1000000,2016,2
2016-02-12,iGrenEnergi,Technology,Solar Power Solutions,Mumbai,Sunil Mehta,Seed Funding,1000000,2016,2
